Level	weapon skill	defense skill	dodge	parry	block	hit melee	hit ranged	hit spell	crit melee	crit ranged	crit spell	hit taken melee	hit taken ranged	hit taken spell	crit taken melee	crit taken ranged	crit taken spell	haste melee	haste ranged	haste spell	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
12	0.192308	0.750000	6.900001	6.900001	2.500000	0.769231	0.769231	0.615385	1.076923	1.076923	1.076923	0.769231	0.769231	0.615385	14.375000	14.375000	14.375000	0.769231	0.769231	0.769231	0.192308	0.192308	0.192308	0.192308	0.361163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	0.240385	0.750000	6.900001	6.900001	2.500000	0.961538	0.961538	0.769231	1.346154	1.346154	1.346154	0.961538	0.961538	0.769231	14.375000	14.375000	14.375000	0.961538	0.961538	0.961538	0.240385	0.240385	0.240385	0.240385	0.451454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.288462	0.750000	6.900001	6.900001	2.500000	1.153846	1.153846	0.923077	1.615385	1.615385	1.615385	1.153846	1.153846	0.923077	14.375000	14.375000	14.375000	1.153846	1.153846	1.153846	0.288462	0.288462	0.288462	0.288462	0.541745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	0.336538	0.750000	6.900001	6.900001	2.500000	1.346154	1.346154	1.076923	1.884615	1.884615	1.884615	1.346154	1.346154	1.076923	14.375000	14.375000	14.375000	1.346154	1.346154	1.346154	0.336538	0.336538	0.336538	0.336538	0.632036	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	0.384615	0.750000	6.900001	6.900001	2.500000	1.538462	1.538462	1.230769	2.153846	2.153846	2.153846	1.538462	1.538462	1.230769	14.375000	14.375000	14.375000	1.538462	1.538462	1.538462	0.384615	0.384615	0.384615	0.384615	0.722326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	0.432692	0.750000	6.900001	6.900001	2.500000	1.730769	1.730769	1.384615	2.423077	2.423077	2.423077	1.730769	1.730769	1.384615	14.375000	14.375000	14.375000	1.730769	1.730769	1.730769	0.432692	0.432692	0.432692	0.432692	0.812617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	0.480769	0.750000	6.900001	6.900001	2.500000	1.923077	1.923077	1.538462	2.692308	2.692308	2.692308	1.923077	1.923077	1.538462	14.375000	14.375000	14.375000	1.923077	1.923077	1.923077	0.480769	0.480769	0.480769	0.480769	0.902908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	0.528846	0.750000	6.900001	6.900001	2.500000	2.115385	2.115385	1.692308	2.961538	2.961538	2.961538	2.115385	2.115385	1.692308	14.375000	14.375000	14.375000	2.115385	2.115385	2.115385	0.528846	0.528846	0.528846	0.528846	0.993199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.576923	0.750000	6.900001	6.900001	2.500000	2.307692	2.307692	1.846154	3.230769	3.230769	3.230769	2.307692	2.307692	1.846154	14.375000	14.375000	14.375000	2.307692	2.307692	2.307692	0.576923	0.576923	0.576923	0.576923	1.083490	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	0.625000	0.750000	6.900001	6.900001	2.500000	2.500000	2.500000	2.000000	3.500000	3.500000	3.500000	2.500000	2.500000	2.000000	14.375000	14.375000	14.375000	2.500000	2.500000	2.500000	0.625000	0.625000	0.625000	0.625000	1.173781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	0.673077	0.750000	6.900001	6.900001	2.500000	2.692308	2.692308	2.153846	3.769231	3.769231	3.769231	2.692308	2.692308	2.153846	14.375000	14.375000	14.375000	2.692308	2.692308	2.692308	0.673077	0.673077	0.673077	0.673077	1.264071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	0.721154	0.750000	6.900001	6.900001	2.500000	2.884615	2.884615	2.307692	4.038462	4.038462	4.038462	2.884615	2.884615	2.307692	14.375000	14.375000	14.375000	2.884615	2.884615	2.884615	0.721154	0.721154	0.721154	0.721154	1.354362	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	0.769231	0.750000	6.900001	6.900001	2.500000	3.076923	3.076923	2.461539	4.307692	4.307692	4.307692	3.076923	3.076923	2.461539	14.375000	14.375000	14.375000	3.076923	3.076923	3.076923	0.769231	0.769231	0.769231	0.769231	1.444653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	0.817308	0.750000	6.900001	6.900001	2.500000	3.269231	3.269231	2.615385	4.576923	4.576923	4.576923	3.269231	3.269231	2.615385	14.375000	14.375000	14.375000	3.269231	3.269231	3.269231	0.817308	0.817308	0.817308	0.817308	1.534944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	0.865385	0.750000	6.900001	6.900001	2.500000	3.461538	3.461538	2.769231	4.846154	4.846154	4.846154	3.461538	3.461538	2.769231	14.375000	14.375000	14.375000	3.461538	3.461538	3.461538	0.865385	0.865385	0.865385	0.865385	1.625234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	0.913462	0.750000	6.900001	6.900001	2.500000	3.653846	3.653846	2.923077	5.115385	5.115385	5.115385	3.653846	3.653846	2.923077	14.375000	14.375000	14.375000	3.653846	3.653846	3.653846	0.913462	0.913462	0.913462	0.913462	1.715525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	0.961538	0.750000	6.900001	6.900001	2.500000	3.846154	3.846154	3.076923	5.384615	5.384615	5.384615	3.846154	3.846154	3.076923	14.375000	14.375000	14.375000	3.846154	3.846154	3.846154	0.961538	0.961538	0.961538	0.961538	1.805816	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	1.009615	0.750000	6.900001	6.900001	2.500000	4.038462	4.038462	3.230769	5.653846	5.653846	5.653846	4.038462	4.038462	3.230769	14.375000	14.375000	14.375000	4.038462	4.038462	4.038462	1.009615	1.009615	1.009615	1.009615	1.896107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	1.057692	0.750000	6.900001	6.900001	2.500000	4.230769	4.230769	3.384615	5.923077	5.923077	5.923077	4.230769	4.230769	3.384615	14.375000	14.375000	14.375000	4.230769	4.230769	4.230769	1.057692	1.057692	1.057692	1.057692	1.986398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	1.105769	0.750000	6.900001	6.900001	2.500000	4.423077	4.423077	3.538462	6.192307	6.192307	6.192307	4.423077	4.423077	3.538462	14.375000	14.375000	14.375000	4.423077	4.423077	4.423077	1.105769	1.105769	1.105769	1.105769	2.076689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	1.153846	0.750000	6.900001	6.900001	2.500000	4.615385	4.615385	3.692308	6.461538	6.461538	6.461538	4.615385	4.615385	3.692308	14.375000	14.375000	14.375000	4.615385	4.615385	4.615385	1.153846	1.153846	1.153846	1.153846	2.166979	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	1.201923	0.750000	6.900001	6.900001	2.500000	4.807693	4.807693	3.846154	6.730769	6.730769	6.730769	4.807693	4.807693	3.846154	14.375000	14.375000	14.375000	4.807693	4.807693	4.807693	1.201923	1.201923	1.201923	1.201923	2.257270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	1.250000	0.750000	6.900001	6.900001	2.500000	5.000000	5.000000	4.000000	7.000000	7.000000	7.000000	5.000000	5.000000	4.000000	14.375000	14.375000	14.375000	5.000000	5.000000	5.000000	1.250000	1.250000	1.250000	1.250000	2.347561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	1.298077	0.778846	7.165385	7.165385	2.596154	5.192308	5.192308	4.153846	7.269231	7.269231	7.269231	5.192308	5.192308	4.153846	14.927885	14.927885	14.927885	5.192308	5.192308	5.192308	1.298077	1.298077	1.298077	1.298077	2.437852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	1.346154	0.807692	7.430769	7.430769	2.692308	5.384615	5.384615	4.307692	7.538462	7.538462	7.538462	5.384615	5.384615	4.307692	15.480770	15.480770	15.480770	5.384615	5.384615	5.384615	1.346154	1.346154	1.346154	1.346154	2.528143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	1.394231	0.836538	7.696154	7.696154	2.788461	5.576923	5.576923	4.461538	7.807693	7.807693	7.807693	5.576923	5.576923	4.461538	16.033655	16.033655	16.033655	5.576923	5.576923	5.576923	1.394231	1.394231	1.394231	1.394231	2.618433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	1.442308	0.865385	7.961538	7.961538	2.884615	5.769231	5.769231	4.615385	8.076923	8.076923	8.076923	5.769231	5.769231	4.615385	16.586538	16.586538	16.586538	5.769231	5.769231	5.769231	1.442308	1.442308	1.442308	1.442308	2.708724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	1.490385	0.894231	8.226923	8.226923	2.980769	5.961538	5.961538	4.769231	8.346154	8.346154	8.346154	5.961538	5.961538	4.769231	17.139423	17.139423	17.139423	5.961538	5.961538	5.961538	1.490385	1.490385	1.490385	1.490385	2.799015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	1.538462	0.923077	8.492308	8.492308	3.076923	6.153846	6.153846	4.923077	8.615384	8.615384	8.615384	6.153846	6.153846	4.923077	17.692308	17.692308	17.692308	6.153846	6.153846	6.153846	1.538462	1.538462	1.538462	1.538462	2.889306	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
41	1.586538	0.951923	8.757692	8.757692	3.173077	6.346154	6.346154	5.076923	8.884615	8.884615	8.884615	6.346154	6.346154	5.076923	18.245193	18.245193	18.245193	6.346154	6.346154	6.346154	1.586538	1.586538	1.586538	1.586538	2.979597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	1.634615	0.980769	9.023077	9.023077	3.269231	6.538462	6.538462	5.230769	9.153846	9.153846	9.153846	6.538462	6.538462	5.230769	18.798079	18.798079	18.798079	6.538462	6.538462	6.538462	1.634615	1.634615	1.634615	1.634615	3.069887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	1.682692	1.009615	9.288462	9.288462	3.365385	6.730769	6.730769	5.384615	9.423077	9.423077	9.423077	6.730769	6.730769	5.384615	19.350962	19.350962	19.350962	6.730769	6.730769	6.730769	1.682692	1.682692	1.682692	1.682692	3.160178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	1.730769	1.038462	9.553846	9.553846	3.461538	6.923077	6.923077	5.538462	9.692307	9.692307	9.692307	6.923077	6.923077	5.538462	19.903847	19.903847	19.903847	6.923077	6.923077	6.923077	1.730769	1.730769	1.730769	1.730769	3.250469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
45	1.778846	1.067308	9.819231	9.819231	3.557692	7.115385	7.115385	5.692307	9.961538	9.961538	9.961538	7.115385	7.115385	5.692307	20.456732	20.456732	20.456732	7.115385	7.115385	7.115385	1.778846	1.778846	1.778846	1.778846	3.340760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
46	1.826923	1.096154	10.084617	10.084617	3.653846	7.307693	7.307693	5.846154	10.230770	10.230770	10.230770	7.307693	7.307693	5.846154	21.009617	21.009617	21.009617	7.307693	7.307693	7.307693	1.826923	1.826923	1.826923	1.826923	3.431051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
47	1.875000	1.125000	10.350000	10.350000	3.750000	7.500000	7.500000	6.000000	10.500000	10.500000	10.500000	7.500000	7.500000	6.000000	21.562500	21.562500	21.562500	7.500000	7.500000	7.500000	1.875000	1.875000	1.875000	1.875000	3.521342	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
48	1.923077	1.153846	10.615385	10.615385	3.846154	7.692307	7.692307	6.153846	10.769232	10.769232	10.769232	7.692307	7.692307	6.153846	22.115387	22.115387	22.115387	7.692307	7.692307	7.692307	1.923077	1.923077	1.923077	1.923077	3.611632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
49	1.971154	1.182692	10.880770	10.880770	3.942308	7.884615	7.884615	6.307693	11.038462	11.038462	11.038462	7.884615	7.884615	6.307693	22.668272	22.668272	22.668272	7.884615	7.884615	7.884615	1.971154	1.971154	1.971154	1.971154	3.701923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50	2.019231	1.211538	11.146154	11.146154	4.038462	8.076923	8.076923	6.461538	11.307693	11.307693	11.307693	8.076923	8.076923	6.461538	23.221157	23.221157	23.221157	8.076923	8.076923	8.076923	2.019231	2.019231	2.019231	2.019231	3.792214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
51	2.067308	1.240385	11.411540	11.411540	4.134615	8.269231	8.269231	6.615385	11.576923	11.576923	11.576923	8.269231	8.269231	6.615385	23.774040	23.774040	23.774040	8.269231	8.269231	8.269231	2.067308	2.067308	2.067308	2.067308	3.882505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
52	2.115385	1.269231	11.676924	11.676924	4.230769	8.461538	8.461538	6.769231	11.846155	11.846155	11.846155	8.461538	8.461538	6.769231	24.326925	24.326925	24.326925	8.461538	8.461538	8.461538	2.115385	2.115385	2.115385	2.115385	3.972795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
53	2.163461	1.298077	11.942308	11.942308	4.326923	8.653846	8.653846	6.923077	12.115385	12.115385	12.115385	8.653846	8.653846	6.923077	24.879808	24.879808	24.879808	8.653846	8.653846	8.653846	2.163461	2.163461	2.163461	2.163461	4.063086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
54	2.211539	1.326923	12.207693	12.207693	4.423077	8.846154	8.846154	7.076923	12.384617	12.384617	12.384617	8.846154	8.846154	7.076923	25.432693	25.432693	25.432693	8.846154	8.846154	8.846154	2.211539	2.211539	2.211539	2.211539	4.153377	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
55	2.259615	1.355769	12.473078	12.473078	4.519231	9.038462	9.038462	7.230769	12.653847	12.653847	12.653847	9.038462	9.038462	7.230769	25.985579	25.985579	25.985579	9.038462	9.038462	9.038462	2.259615	2.259615	2.259615	2.259615	4.243668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
56	2.307692	1.384615	12.738462	12.738462	4.615385	9.230769	9.230769	7.384615	12.923079	12.923079	12.923079	9.230769	9.230769	7.384615	26.538464	26.538464	26.538464	9.230769	9.230769	9.230769	2.307692	2.307692	2.307692	2.307692	4.333959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
57	2.355769	1.413461	13.003847	13.003847	4.711538	9.423077	9.423077	7.538462	13.192308	13.192308	13.192308	9.423077	9.423077	7.538462	27.091347	27.091347	27.091347	9.423077	9.423077	9.423077	2.355769	2.355769	2.355769	2.355769	4.424249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
58	2.403846	1.442308	13.269232	13.269232	4.807693	9.615385	9.615385	7.692307	13.461539	13.461539	13.461539	9.615385	9.615385	7.692307	27.644234	27.644234	27.644234	9.615385	9.615385	9.615385	2.403846	2.403846	2.403846	2.403846	4.514540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
59	2.451923	1.471154	13.534616	13.534616	4.903846	9.807693	9.807693	7.846154	13.730770	13.730770	13.730770	9.807693	9.807693	7.846154	28.197117	28.197117	28.197117	9.807693	9.807693	9.807693	2.451923	2.451923	2.451923	2.451923	4.604831	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
60	2.500000	1.500000	13.800001	13.800001	5.000000	10.000000	10.000000	8.000000	14.000000	14.000000	14.000000	10.000000	10.000000	8.000000	28.750002	28.750002	28.750002	10.000000	10.000000	10.000000	2.500000	2.500000	2.500000	2.500000	4.695122	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
61	2.594937	1.556962	14.324051	14.324051	5.189874	10.379747	10.379747	8.303798	14.531647	14.531647	14.531647	10.379747	10.379747	8.303798	29.841774	29.841774	29.841774	10.379747	10.379747	10.379747	2.594937	2.594937	2.594937	2.594937	4.873418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
62	2.697368	1.618421	14.889476	14.889476	5.394737	10.789474	10.789474	8.631579	15.105265	15.105265	15.105265	10.789474	10.789474	8.631579	31.019739	31.019739	31.019739	10.789474	10.789474	10.789474	2.697368	2.697368	2.697368	2.697368	5.065790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
63	2.808219	1.684931	15.501371	15.501371	5.616438	11.232877	11.232877	8.986301	15.726029	15.726029	15.726029	11.232877	11.232877	8.986301	32.294521	32.294521	32.294521	11.232877	11.232877	11.232877	2.808219	2.808219	2.808219	2.808219	5.273973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
64	2.928571	1.757143	16.165714	16.165714	5.857142	11.714287	11.714287	9.371428	16.400000	16.400000	16.400000	11.714287	11.714287	9.371428	33.678574	33.678574	33.678574	11.714287	11.714287	11.714287	2.928571	2.928571	2.928571	2.928571	5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
65	3.059702	1.835821	16.889553	16.889553	6.119403	12.238807	12.238807	9.791045	17.134329	17.134329	17.134329	12.238807	12.238807	9.791045	35.186569	35.186569	35.186569	12.238807	12.238807	12.238807	3.059702	3.059702	3.059702	3.059702	5.746268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
66	3.203125	1.921875	17.681252	17.681252	6.406251	12.812500	12.812500	10.250000	17.937500	17.937500	17.937500	12.812500	12.812500	10.250000	36.835941	36.835941	36.835941	12.812500	12.812500	12.812500	3.203125	3.203125	3.203125	3.203125	6.015625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
67	3.360656	2.016393	18.550821	18.550821	6.721312	13.442624	13.442624	10.754099	18.819674	18.819674	18.819674	13.442624	13.442624	10.754099	38.647545	38.647545	38.647545	13.442624	13.442624	13.442624	3.360656	3.360656	3.360656	3.360656	6.311475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
68	3.534483	2.120690	19.510345	19.510345	7.068965	14.137931	14.137931	11.310346	19.793104	19.793104	19.793104	14.137931	14.137931	11.310346	40.646553	40.646553	40.646553	14.137931	14.137931	14.137931	3.534483	3.534483	3.534483	3.534483	6.637931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
69	3.727273	2.236364	20.574547	20.574547	7.454545	14.909091	14.909091	11.927274	20.872728	20.872728	20.872728	14.909091	14.909091	11.927274	42.863640	42.863640	42.863640	14.909091	14.909091	14.909091	3.727273	3.727273	3.727273	3.727273	7.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
70	3.942308	2.365385	21.761539	21.761539	7.884615	15.769233	15.769233	12.615385	22.076923	22.076923	22.076923	15.769233	15.769233	12.615385	45.336544	45.336544	45.336544	15.769233	15.769233	15.769233	3.942308	3.942308	3.942308	3.942308	7.403846	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
71	4.241735	2.545041	23.414381	23.414381	8.483471	16.966942	16.966942	13.573555	23.753721	23.753721	23.753721	16.966942	16.966942	13.573555	48.779964	48.779964	48.779964	16.966942	16.966942	16.966942	4.241735	4.241735	4.241735	4.241735	7.966187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
72	4.563906	2.738343	25.192760	25.192760	9.127811	18.255625	18.255625	14.604500	25.557875	25.557875	25.557875	18.255625	18.255625	14.604500	52.484921	52.484921	52.484921	18.255625	18.255625	18.255625	4.563906	4.563906	4.563906	4.563906	8.571238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
73	4.910545	2.946327	27.106215	27.106215	9.821091	19.642183	19.642183	15.713748	27.499056	27.499056	27.499056	19.642183	19.642183	15.713748	56.471275	56.471275	56.471275	19.642183	19.642183	19.642183	4.910545	4.910545	4.910545	4.910545	9.222244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
74	5.283514	3.170108	29.164995	29.164995	10.567027	21.134054	21.134054	16.907244	29.587677	29.587677	29.587677	21.134054	21.134054	16.907244	60.760410	60.760410	60.760410	21.134054	21.134054	21.134054	5.283514	5.283514	5.283514	5.283514	9.922696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
75	5.684809	3.410886	31.380148	31.380148	11.369618	22.739237	22.739237	18.191391	31.834934	31.834934	31.834934	22.739237	22.739237	18.191391	65.375305	65.375305	65.375305	22.739237	22.739237	22.739237	5.684809	5.684809	5.684809	5.684809	10.676350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
76	6.116584	3.669950	33.763546	33.763546	12.233170	24.466339	24.466339	19.573071	34.252872	34.252872	34.252872	24.466339	24.466339	19.573071	70.340721	70.340721	70.340721	24.466339	24.466339	24.466339	6.116584	6.116584	6.116584	6.116584	11.487245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
77	6.581153	3.948692	36.327972	36.327972	13.162309	26.324617	26.324617	21.059694	36.854465	36.854465	36.854465	26.324617	26.324617	21.059694	75.683273	75.683273	75.683273	26.324617	26.324617	26.324617	6.581153	6.581153	6.581153	6.581153	12.359729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
78	7.081008	4.248605	39.087170	39.087170	14.162018	28.324036	28.324036	22.659227	39.653648	39.653648	39.653648	28.324036	28.324036	22.659227	81.431602	81.431602	81.431602	28.324036	28.324036	28.324036	7.081008	7.081008	7.081008	7.081008	13.298481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
79	7.618829	4.571297	42.055935	42.055935	15.237658	30.475315	30.475315	24.380253	42.665440	42.665440	42.665440	30.475315	30.475315	24.380253	87.616531	87.616531	87.616531	30.475315	30.475315	30.475315	7.618829	7.618829	7.618829	7.618829	14.308533	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
80	8.197496	4.918498	45.250187	45.250187	16.394995	32.789989	32.789989	26.231993	45.905987	45.905987	45.905987	32.789989	32.789989	26.231993	94.271225	94.271225	94.271225	32.789989	32.789989	32.789989	8.197496	8.197496	8.197496	8.197496	15.395300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
81	8.820117	5.292070	48.687050	48.687050	17.640236	35.280472	35.280472	28.224375	49.392658	49.392658	49.392658	35.280472	35.280472	28.224375	101.431340	101.431340	101.431340	35.280472	35.280472	35.280472	8.820117	8.820117	8.820117	8.820117	16.564611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
82	9.490026	5.694016	52.384949	52.384949	18.980053	37.960106	37.960106	30.368088	53.144150	53.144150	53.144150	37.960106	37.960106	30.368088	109.135310	109.135310	109.135310	37.960106	37.960106	37.960106	9.490026	9.490026	9.490026	9.490026	17.822733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
83	10.210818	6.126490	56.363712	56.363712	20.421637	40.843273	40.843273	32.674614	57.180576	57.180576	57.180576	40.843273	40.843273	32.674614	117.424400	117.424400	117.424400	40.843273	40.843273	40.843273	10.210818	10.210818	10.210818	10.210818	19.176413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
84	10.986354	6.591812	60.644672	60.644672	21.972708	43.945415	43.945415	35.156334	61.523586	61.523586	61.523586	43.945415	43.945415	35.156334	126.343060	126.343060	126.343060	43.945415	43.945415	43.945415	10.986354	10.986354	10.986354	10.986354	20.632910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
